Tahun,Kabupaten_Kota,Jumlah_Penduduk,Perempuan,Laki_Laki
2019,Nias,143319,73566,69753
2019,Mandailing Natal,447287,227624,219663
2019,Tapanuli Selatan,281931,141797,140134
2019,Tapanuli Tengah,376667,187660,189007
2019,Tapanuli Utara,301789,152584,149205
2019,Toba,183712,92475,91237
2019,Labuhan Batu,494178,244456,249722
2019,Asahan,729795,363192,366603
2019,Simalungun,867922,435497,432425
2019,Dairi,284304,142321,141983
2019,Karo,415878,209483,206395
2019,Deli Serdang,2195709,1090815,1104894
2019,Langkat,1041775,517294,524481
2019,Nias Selatan,319902,161229,158673
2019,Humbang Hasundutan,190186,95669,94517
2019,Pakpak Bharat,48935,24236,24699
2019,Samosir,126188,63457,62731
2019,Serdang Bedagai,616396,307014,309382
2019,Batu Bara,416493,206854,209639
2019,Padang Lawas Utara,272713,135712,137001
2019,Padang Lawas,281239,140323,140916
2019,Labuhanbatu Selatan,338982,166105,172877
2019,Labuanbatu Utara,363816,180094,183722
2019,Nias Utara,137967,69657,68310
2019,Nias Barat,82154,42840,39314
2019,Sibolga,87626,43647,43979
2019,Tanjungbalai,175223,87042,88181
2019,Pematangsiantar,255317,130784,124533
2019,Tebing Tinggi,164402,83121,81281
2019,Medan,2279894,1154627,1125267
2019,Binjai,276597,138533,138064
2019,Padangsidimpuan,221827,113806,108021
2019,Gunungsitoli,142426,72828,69598
2020,Nias,143983,73975,70008
2020,Mandailing Natal,451028,229627,221401
2020,Tapanuli Selatan,283389,142591,140798
2020,Tapanuli Tengah,382917,190723,192194
2020,Tapanuli Utara,303688,153675,150013
2020,Toba,184493,92769,91724
2020,Labuhan Batu,501596,248200,253396
2020,Asahan,735026,365894,369132
2020,Simalungun,871678,437502,434176
2020,Dairi,285481,142968,142513
2020,Karo,421997,212608,209389
2020,Deli Serdang,2234320,1110229,1124091
2020,Langkat,1048100,520522,527578
2020,Nias Selatan,322520,162444,160076
2020,Humbang Hasundutan,191776,96596,95180
2020,Pakpak Bharat,49688,24593,25095
2020,Samosir,126710,63782,62928
2020,Serdang Bedagai,617772,307765,310007
2020,Batu Bara,420103,208695,211408
2020,Padang Lawas Utara,277423,138093,139330
2020,Padang Lawas,286627,143014,143613
2020,Labuhanbatu Selatan,344819,169022,175797
2020,Labuanbatu Utara,366603,181523,185080
2020,Nias Utara,138800,70084,68716
2020,Nias Barat,82425,42919,39506
2020,Sibolga,87791,43668,44123
2020,Tanjungbalai,177005,87797,89208
2020,Pematangsiantar,257110,131680,125430
2020,Tebing Tinggi,166100,83994,82106
2020,Medan,2295003,1162124,1132879
2020,Binjai,279302,140018,139284
2020,Padangsidimpuan,224483,115097,109386
2020,Gunungsitoli,143776,73459,70317
2021,Nias,147794,75537,72257
2021,Mandailing Natal,478062,239932,238130
2021,Tapanuli Selatan,303685,151096,152589
2021,Tapanuli Tengah,369300,183352,185948
2021,Tapanuli Utara,315222,157765,157457
2021,Toba,208754,104597,104157
2021,Labuhan Batu,499982,246337,253645
2021,Asahan,777626,384234,393392
2021,Simalungun,1003727,499485,504242
2021,Dairi,311665,155535,156130
2021,Karo,409077,206750,202327
2021,Deli Serdang,1941374,964335,977039
2021,Langkat,1034519,511388,523131
2021,Nias Selatan,366163,182362,183801
2021,Humbang Hasundutan,199719,99745,99974
2021,Pakpak Bharat,53315,26374,26941
2021,Samosir,137696,69092,68604
2021,Serdang Bedagai,662076,328561,333515
2021,Batu Bara,413171,205301,207870
2021,Padang Lawas Utara,263551,129173,134378
2021,Padang Lawas,263719,130838,132881
2021,Labuhanbatu Selatan,316798,155011,161787
2021,Labuanbatu Utara,385869,189988,195881
2021,Nias Utara,148790,74797,73993
2021,Nias Barat,90585,46484,44101
2021,Sibolga,89932,44828,45104
2021,Tanjungbalai,177640,87636,90004
2021,Pematangsiantar,270768,136868,133900
2021,Tebing Tinggi,174969,87849,87120
2021,Medan,2460858,1235657,1225201
2021,Binjai,295361,147697,147664
2021,Padangsidimpuan,227674,114356,113318
2021,Gunungsitoli,136707,70215,66492
2022,Nias,149249,76259,72990
2022,Mandailing Natal,484874,243280,241594
2022,Tapanuli Selatan,307312,152855,154457
2022,Tapanuli Tengah,374734,185994,188740
2022,Tapanuli Utara,318424,159322,159102
2022,Toba,212133,106259,105874
2022,Labuhan Batu,508024,250222,257802
2022,Asahan,787681,389086,398595
2022,Simalungun,1021615,508235,513380
2022,Dairi,315460,157383,158077
2022,Karo,414429,209394,205035
2022,Deli Serdang,1953986,970311,983675
2022,Langkat,1039926,513906,526020
2022,Nias Selatan,373674,186047,187627
2022,Humbang Hasundutan,202299,101003,101296
2022,Pakpak Bharat,54609,27006,27603
2022,Samosir,139337,69895,69442
2022,Serdang Bedagai,667998,331401,336597
2022,Batu Bara,416367,206827,209540
2022,Padang Lawas Utara,267275,130958,136317
2022,Padang Lawas,267275,132562,134713
2022,Labuhanbatu Selatan,320324,156688,163636
2022,Labuanbatu Utara,390954,192432,198522
2022,Nias Utara,150780,75776,75004
2022,Nias Barat,91346,46861,44485
2022,Sibolga,90366,45031,45335
2022,Tanjungbalai,179748,88649,91099
2022,Pematangsiantar,274056,138490,135566
2022,Tebing Tinggi,177785,89236,88549
2022,Medan,2494512,1252199,1242313
2022,Binjai,300009,149977,150032
2022,Padangsidimpuan,231062,116024,115038
2022,Gunungsitoli,137583,70645,66938
2023,Nias,153658,78595,75063
2023,Mandailing Natal,496975,249164,247811
2023,Tapanuli Selatan,312540,155200,157340
2023,Tapanuli Tengah,386895,191809,195086
2023,Tapanuli Utara,323102,161320,161782
2023,Toba,213850,106943,106907
2023,Labuhan Batu,513826,253109,260717
2023,Asahan,802563,396946,405617
2023,Simalungun,1035920,514658,521262
2023,Dairi,324747,161819,162928
2023,Karo,420799,212199,208600
2023,Deli Serdang,2018164,1003535,1014629
2023,Langkat,1066711,527889,538822
2023,Nias Selatan,382539,190195,192344
2023,Humbang Hasundutan,204700,102127,102573
2023,Pakpak Bharat,55172,27282,27890
2023,Samosir,141333,70685,70648
2023,Serdang Bedagai,682918,339056,343862
2023,Batu Bara,430533,213984,216549
2023,Padang Lawas Utara,275448,135073,140375
2023,Padang Lawas,275648,137142,138506
2023,Labuhanbatu Selatan,330797,162142,168655
2023,Labuanbatu Utara,401863,198158,203705
2023,Nias Utara,155873,78415,77458
2023,Nias Barat,95334,48909,46425
2023,Sibolga,91265,45426,45839
2023,Tanjungbalai,183170,90455,92715
2023,Pematangsiantar,274838,138920,135918
2023,Tebing Tinggi,178914,89889,89025
2023,Medan,2474166,1242493,1231673
2023,Binjai,303272,151645,151627
2023,Padangsidimpuan,236217,116989,119228
2023,Gunungsitoli,142890,73155,69735
