Tahun,Kabupaten_Kota,TPT,TPAK
2019,Nias,1.09,84.79
2019,Mandailing Natal,6.35,71.35
2019,Tapanuli Selatan,4.17,75.34
2019,Tapanuli Tengah,7.29,71.67
2019,Tapanuli Utara,1.34,81.74
2019,Toba Samosir,1.26,82.06
2019,Labuhan Batu,5.71,62.69
2019,Asahan,6.8,65.08
2019,Simalungun,4.36,71.52
2019,Dairi,1.59,87.01
2019,Karo,1.08,83.78
2019,Deli Serdang,5.69,68.83
2019,Langkat,5.28,68.9
2019,Nias Selatan,2.24,72.57
2019,Humbang Hasundutan,0.33,88.43
2019,Pakpak Bharat,0.18,88.09
2019,Samosir,1.25,81.68
2019,Serdang Bedagai,4.35,70.74
2019,Batu Bara,6.7,65.03
2019,Padang Lawas Utara,3.2,78.1
2019,Padang Lawas,4.22,76.32
2019,Labuhan Batu Selatan,4.75,65.73
2019,Labuhan Batu Utara,5.81,66.91
2019,Nias Utara,3.06,75.71
2019,Nias Barat,1.65,82.11
2019,Kota Sibolga,7.46,71.24
2019,Kota Tanjung Balai,6.75,65.02
2019,Kota Pematang Siantar,11.12,71.3
2019,Kota Tebing Tinggi,8.6,66.82
2019,Kota Medan,8.5,65.16
2019,Kota Binjai,6.09,67.02
2019,Kota Padangsidimpuan,4.34,73.16
2019,Kota Gunungsitoli,5.58,71.67
2020,Nias,3.49,81.16
2020,Mandailing Natal,6.5,65.94
2020,Tapanuli Selatan,4.42,78.54
2020,Tapanuli Tengah,7.54,70.91
2020,Tapanuli Utara,2.94,82.18
2020,Toba Samosir,2.5,81.21
2020,Labuhan Batu,6.05,64.91
2020,Asahan,7.24,59.62
2020,Simalungun,4.58,71.83
2020,Dairi,1.75,70.22
2020,Karo,1.83,83.93
2020,Deli Serdang,9.5,67.23
2020,Langkat,7.02,69.92
2020,Nias Selatan,4.15,77.14
2020,Humbang Hasundutan,0.84,87.13
2020,Pakpak Bharat,1.93,88.95
2020,Samosir,1.2,52.17
2020,Serdang Bedagai,5.54,69.82
2020,Batu Bara,6.48,69.1
2020,Padang Lawas Utara,3.11,66.04
2020,Padang Lawas,4.11,76.93
2020,Labuhan Batu Selatan,4.9,60.94
2020,Labuhan Batu Utara,6.82,68.08
2020,Nias Utara,4.54,73.71
2020,Nias Barat,1.71,51.83
2020,Kota Sibolga,8.0,70.38
2020,Kota Tanjung Balai,6.97,65.84
2020,Kota Pematang Siantar,11.5,70.45
2020,Kota Tebing Tinggi,9.98,69.27
2020,Kota Medan,10.74,63.62
2020,Kota Binjai,8.67,65.14
2020,Kota Padangsidimpuan,7.45,73.24
2020,Kota Gunungsitoli,5.94,62.82
2021,Nias,3.12,81.79
2021,Mandailing Natal,6.12,69.79
2021,Tapanuli Selatan,4.0,74.38
2021,Tapanuli Tengah,7.24,75.05
2021,Tapanuli Utara,1.54,82.63
2021,Toba Samosir,0.83,80.38
2021,Labuhan Batu,5.66,61.84
2021,Asahan,6.39,63.02
2021,Simalungun,4.17,72.55
2021,Dairi,1.49,85.73
2021,Karo,1.95,84.56
2021,Deli Serdang,9.13,66.78
2021,Langkat,5.12,69.12
2021,Nias Selatan,3.91,72.25
2021,Humbang Hasundutan,1.94,84.17
2021,Pakpak Bharat,1.36,87.7
2021,Samosir,0.7,84.38
2021,Serdang Bedagai,3.93,66.75
2021,Batu Bara,6.62,70.0
2021,Padang Lawas Utara,3.19,76.82
2021,Padang Lawas,4.07,75.23
2021,Labuhan Batu Selatan,4.71,66.38
2021,Labuhan Batu Utara,5.74,65.73
2021,Nias Utara,3.0,74.27
2021,Nias Barat,,82.08
2021,Kota Sibolga,8.72,71.19
2021,Kota Tanjung Balai,6.59,66.57
2021,Kota Pematang Siantar,11.0,68.8
2021,Kota Tebing Tinggi,8.37,67.19
2021,Kota Medan,10.81,62.16
2021,Kota Binjai,7.86,62.77
2021,Kota Padangsidimpuan,7.18,68.69
2021,Kota Gunungsitoli,4.8,62.95
2022,Nias,2.81,84.5
2022,Mandailing Natal,7.64,71.15
2022,Tapanuli Selatan,3.65,74.53
2022,Tapanuli Tengah,7.97,76.51
2022,Tapanuli Utara,1.07,81.07
2022,Toba Samosir,1.39,79.04
2022,Labuhan Batu,6.9,63.51
2022,Asahan,6.26,65.68
2022,Simalungun,5.51,69.91
2022,Dairi,0.88,85.01
2022,Karo,2.71,85.11
2022,Deli Serdang,8.79,66.84
2022,Langkat,6.88,71.51
2022,Nias Selatan,3.69,78.54
2022,Humbang Hasundutan,,85.83
2022,Pakpak Bharat,,86.2
2022,Samosir,1.16,83.57
2022,Serdang Bedagai,4.98,67.59
2022,Batu Bara,6.21,73.5
2022,Padang Lawas Utara,4.31,70.33
2022,Padang Lawas,5.9,75.1
2022,Labuhan Batu Selatan,3.15,66.76
2022,Labuhan Batu Utara,3.75,65.31
2022,Nias Utara,2.59,77.75
2022,Nias Barat,,84.63
2022,Kota Sibolga,7.05,65.85
2022,Kota Tanjung Balai,4.62,70.77
2022,Kota Pematang Siantar,9.36,65.27
2022,Kota Tebing Tinggi,6.39,77.26
2022,Kota Medan,8.89,62.23
2022,Kota Binjai,6.36,58.61
2022,Kota Padangsidimpuan,7.76,64.41
2022,Kota Gunungsitoli,3.65,66.11
2023,Nias,2.31,81.68
2023,Mandailing Natal,7.45,63.07
2023,Tapanuli Selatan,3.49,75.64
2023,Tapanuli Tengah,7.81,74.52
2023,Tapanuli Utara,1.03,81.2
2023,Toba Samosir,,80.87
2023,Labuhan Batu,5.99,64.84
2023,Asahan,6.12,69.53
2023,Simalungun,5.35,72.15
2023,Dairi,1.23,84.81
2023,Karo,2.63,83.86
2023,Deli Serdang,8.62,67.62
2023,Langkat,6.33,75.87
2023,Nias Selatan,3.48,79.29
2023,Humbang Hasundutan,,86.67
2023,Pakpak Bharat,,85.95
2023,Samosir,,86.89
2023,Serdang Bedagai,4.97,67.65
2023,Batu Bara,5.88,72.94
2023,Padang Lawas Utara,4.42,73.41
2023,Padang Lawas,5.75,78.14
2023,Labuhan Batu Selatan,3.43,73.2
2023,Labuhan Batu Utara,4.84,64.68
2023,Nias Utara,2.57,81.27
2023,Nias Barat,0.8,81.08
2023,Kota Sibolga,6.79,71.18
2023,Kota Tanjung Balai,4.47,69.79
2023,Kota Pematang Siantar,8.62,70.96
2023,Kota Tebing Tinggi,6.24,65.7
2023,Kota Medan,8.67,64.67
2023,Kota Binjai,6.1,62.79
2023,Kota Padangsidimpuan,7.57,68.9
2023,Kota Gunungsitoli,3.67,67.77
